Column1,Released,Released2,Title,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
1,1/17/2020,2020,Bad Boys For Life,Action,Original Screenplay,Live Action,Contemporary Fiction,90000000,204417855,220181959,424599814
2,2/14/2020,2020,Sonic The Hedgehog,Adventure,Based on Game,Animation/Live Action,Kids Fiction,90000000,146066470,159750500,305816970
3,2/7/2020,2020,Birds of Prey (And the Fantabulous Em…,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,82000000,84158461,117700000,201858461
4,1/17/2020,2020,Dolittle,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,175000000,77047065,171967935,249015000
5,2/28/2020,2020,The Invisible Man,Horror,Based on Fiction Book/Short Story,Live Action,Science Fiction,7000000,64914050,69216330,134130380
6,2/21/2020,2020,The Call of the Wild,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,125000000,62342368,45039407,107381775
7,3/6/2020,2020,Onward,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,61555145,45726798,107281943
8,1/24/2020,2020,The Gentlemen,Action,Original Screenplay,Live Action,Contemporary Fiction,22000000,36296854,75472009,111768863
9,2/14/2020,2020,Fantasy Island,Horror,Based on TV,Live Action,Contemporary Fiction,7000000,26441782,21119098,47560880
10,1/10/2020,2020,Like a Boss,Comedy,Original Screenplay,Live Action,Contemporary Fiction,29000000,22169514,4385281,26554795
11,1/3/2020,2020,The Grudge,Horror,Based on Movie,Live Action,Contemporary Fiction,10000000,21216148,28287117,49503265
12,2/14/2020,2020,The Photograph,Drama,Original Screenplay,Live Action,Contemporary Fiction,15000000,20578185,126196,20704381
13,1/10/2020,2020,Underwater,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,65000000,17291078,21903186,39194264
14,1/24/2020,2020,The Turning,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,12000000,15472775,3000000,18472775
15,1/31/2020,2020,Gretel & Hansel,Horror,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,5000000,15347654,5737557,21085211
16,3/6/2020,2020,The Way Back,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,13590514,972895,14563409
17,2/26/2020,2020,Boku no Hīrō Akademia The Movie Hī…,Adventure,Based on Comic/Graphic Novel,Digital Animation,Super Hero,0,13553826,16332524,29886350
18,2/21/2020,2020,Brahms: The Boy II,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,12611536,6364941,18976477
19,2/21/2020,2020,Impractical Jokers: The Movie,Comedy,Compilation,Live Action,Contemporary Fiction,0,10466091,0,10466091
20,2/21/2020,2020,Emma.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,0,10055355,15722501,25777856
21,3/13/2020,2020,Bloodshot,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,0,10021787,27256966,37278753
22,3/13/2020,2020,I Still Believe,Drama,Based on Real Life Events,Live Action,Dramatization,0,9868521,2987099,12855620
23,2/14/2020,2020,Downhill,Drama,Remake,Live Action,Contemporary Fiction,0,8287061,640113,8927174
24,1/15/2020,2020,Tenki no Ko,Drama,Original Screenplay,Digital Animation,Contemporary Fiction,0,7798703,182140489,189939192
25,3/13/2020,2020,The Hunt,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18200000,5812500,4930491,10742991
26,1/31/2020,2020,The Rhythm Section,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,50000000,5437971,545072,5983043
27,2/14/2020,2020,Portrait de la jeune fille en feu,Drama,Original Screenplay,Live Action,Historical Fiction,5360529,3759854,5541677,9301531
28,1/29/2020,2020,2020 Oscar Shorts,Multiple Genres,Compilation,Multiple Production Methods,Multiple Creative Types,0,3304748,0,3304748
29,2/21/2020,2020,Las Pildoras De Mi Novio,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,2971116,3311685,6282801
30,1/24/2020,2020,The Last Full Measure,Drama,Based on Real Life Events,Live Action,Dramatization,20000000,2949212,371239,3320451
31,2/7/2020,2020,The Lodge,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,2138907,947607,3086514
32,5/1/2020,2020,The Wretched,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,1806698,1127615,2934313
33,7/24/2020,2020,The Rental,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,1372894,228058,1600952
34,2/29/2020,2020,Met Opera — Agrippina,Concert/Performance,Original Screenplay,Live Action,Historical Fiction,0,1150000,284026,1434026
35,1/31/2020,2020,The Assistant,Drama,Original Screenplay,Live Action,Contemporary Fiction,1780000,1100310,204596,1304906
36,7/3/2020,2020,Relic,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,1039375,1934,1041309
37,6/5/2020,2020,Becky,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,1002852,19100,1021952
38,8/14/2020,2020,The SpongeBob Movie: Sponge on the Run,Adventure,Based on TV,Digital Animation,Kids Fiction,0,865824,0,865824
39,1/11/2020,2020,Met Opera: Wozzeck,Concert/Performance,Original Screenplay,Live Action,Historical Fiction,0,863000,166603,1029603
40,1/10/2020,2020,Sarileru Neekevvaru,Action,Original Screenplay,Live Action,Contemporary Fiction,0,821000,359409,1180409
41,1/24/2020,2020,Color Out of Space,Horror,Based on Fiction Book/Short Story,Live Action,Science Fiction,0,765561,241955,1007516
42,3/6/2020,2020,Baaghi 3,Action,Original Screenplay,Live Action,Contemporary Fiction,0,721439,572100,1293539
43,8/7/2020,2020,The Tax Collector,Action,Original Screenplay,Live Action,Contemporary Fiction,0,612528,0,612528
44,1/10/2020,2020,Chhapaak,Drama,Based on Real Life Events,Live Action,Dramatization,0,604334,318323,922657
45,8/14/2020,2020,Unhinged,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,33000000,601032,5410000,6011032
46,1/24/2020,2020,Panga,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,582720,143345,726065
47,6/19/2020,2020,Followed,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,538179,0,538179
48,7/24/2020,2020,The Big Ugly,Action,Original Screenplay,Live Action,Contemporary Fiction,0,502388,1292,503680
49,2/21/2020,2020,CatVideoFest,Documentary,Compilation,Live Action,Multiple Creative Types,0,478775,35370,514145
50,2/21/2020,2020,Once Were Brothers: Robbie Robertson …,Documentary,Based on Real Life Events,Live Action,Factual,0,449561,4835,454396
51,2/21/2020,2020,Seberg,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,8000000,448009,226023,674032
52,6/12/2020,2020,Infamous,Action,Original Screenplay,Live Action,Contemporary Fiction,0,429148,0,429148
53,2/28/2020,2020,Greed,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,355308,1060738,1416046
54,2/19/2020,2020,"Kimi to, nami ni noretara",Comedy,Original Screenplay,Digital Animation,Contemporary Fiction,0,332432,3669430,4001862
55,1/10/2020,2020,Les misérables,Drama,Based on Real Life Events,Live Action,Dramatization,0,330181,18210249,18540430
56,2/14/2020,2020,Ordinary Love,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,323688,337050,660738
57,1/31/2020,2020,Il Traditore,Drama,Based on Real Life Events,Live Action,Dramatization,0,296027,8505740,8801767
58,1/31/2020,2020,Created Equal: Clarence Thomas in His…,Documentary,Based on Real Life Events,Live Action,Factual,0,282149,0,282149
59,8/7/2020,2020,Ban-do,Horror,Original Screenplay,Live Action,Science Fiction,0,273292,28204199,28477491
60,2/14/2020,2020,"Mafia, Inc.",Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,264552,0,264552
61,1/29/2020,2020,Dylda,Drama,Original Screenplay,Live Action,Historical Fiction,0,196258,1329563,1525821
62,2/12/2020,2020,The Doors: Break on Thru — A Celebr…,Documentary,Based on Real Life Events,Live Action,Factual,0,186920,0,186920
63,2/7/2020,2020,And Then We Danced,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,177262,403039,580301
64,3/6/2020,2020,Extra Ordinary,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,164346,59367,223713
65,2/28/2020,2020,Wendy,Drama,Original Screenplay,Live Action,Fantasy,0,143518,1053,144571
66,1/31/2020,2020,Incitement,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,0,140306,0,140306
67,7/10/2020,2020,Archive,,Original Screenplay,Live Action,Science Fiction,0,139593,59686,199279
68,2/28/2020,2020,Burden,Drama,Based on Real Life Events,Live Action,Dramatization,0,139270,264427,403697
69,3/6/2020,2020,Beneath Us,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,137260,0,137260
70,2/14/2020,2020,The Times of Bill Cunningham,Documentary,Based on Real Life Events,Live Action,Factual,0,134288,0,134288
71,2/28/2020,2020,Saint Frances,Multiple Genres,Original Screenplay,Live Action,Contemporary Fiction,0,127275,14923,142198
72,2/14/2020,2020,Corpus Christi,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,127240,8496187,8623427
73,1/24/2020,2020,Namsaneui Bujangdeul,Thriller/Suspense,Based on Factual Book/Article,Live Action,Contemporary Fiction,0,113527,34843440,34956967
74,3/6/2020,2020,Hope Gap,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,104732,112753,217485
75,3/6/2020,2020,First Cow,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,0,101068,0,101068
76,2/7/2020,2020,Come to Daddy,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,96713,20520,117233
77,3/6/2020,2020,The Burnt Orange Heresy,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,94410,305683,400093
78,2/14/2020,2020,First Lady,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,89885,0,89885
79,6/19/2020,2020,StarDog and TurboCat,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,80496,320370,400866
80,8/7/2020,2020,Made in Italy,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,73012,293626,366638
81,5/8/2020,2020,How to Build a Girl,Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,0,70632,0,70632
82,4/10/2020,2020,We Summon the Darkness,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,60794,78539,139333
83,3/6/2020,2020,Bacurau,Action,Original Screenplay,Live Action,Science Fiction,0,58115,3508398,3566513
84,2/28/2020,2020,La Gomera,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,55608,751365,806973
85,2/14/2020,2020,A Simple Wedding,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,54415,0,54415
86,8/14/2020,2020,The Silencing,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,53205,0,53205
87,7/31/2020,2020,Summerland,Drama,Original Screenplay,Live Action,Historical Fiction,0,52822,83868,136690
88,3/13/2020,2020,Miss Fisher & The Crypt Of Tears,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,51032,1920490,1971522
89,1/12/2020,2020,VHYes,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,47037,0,47037
90,2/14/2020,2020,Fei Long Guo Jiang,Action,Original Screenplay,Live Action,Contemporary Fiction,0,46855,0,46855
91,1/10/2020,2020,Three Christs,Drama,Based on Factual Book/Article,Live Action,Dramatization,0,37788,0,37788
92,4/17/2020,2020,Other Music,Documentary,Based on Real Life Events,Live Action,Factual,0,37191,0,37191
93,4/3/2020,2020,Best of Catvideofest,Documentary,Based on Real Life Events,Live Action,Factual,0,34287,0,34287
94,4/24/2020,2020,True History Of The Kelly Gang,Drama,Based on Factual Book/Article,Live Action,Dramatization,0,33816,412361,446177
95,3/6/2020,2020,Swallow,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,33419,242946,276365
96,3/10/2020,2020,Nick Mason’s Saucerful of Secrets: …,Concert/Performance,Based on Real Life Events,Live Action,Factual,0,31739,37918,69657
97,5/29/2020,2020,Max Winslow and the House of Secrets,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,0,31252,0,31252
98,2/12/2020,2020,After Parkland,Documentary,Based on Real Life Events,Live Action,Factual,0,30444,0,30444
99,2/14/2020,2020,Olympic Dreams,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,29450,0,29450
100,2/21/2020,2020,Tread,Documentary,Based on Real Life Events,Live Action,Factual,0,29136,0,29136
