Column1,Released,Released Worldwide,Title,Theatrical Distributor,Genre,Source,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,International Box Office,Worldwide Box Office
1,12/18/2015,12/16/2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,Original Screenplay,Science Fiction,306000000,4134,4134,37852,247966675,936662225,1128815859,2065478084
36,5/24/2019,5/22/2019,Aladdin,Walt Disney,Adventure,Remake,Fantasy,182000000,4476,4476,35706,91500929,355559216,693111150,1048670366
3,2/16/2018,2/13/2018,Black Panther,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,200000000,4020,4084,40236,202003951,700059566,641852753,1341912319
4,4/27/2018,4/25/2018,Avengers: Infinity War,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,300000000,4474,4474,34406,257698183,678815482,1369544272,2048359754
5,6/12/2015,6/9/2015,Jurassic World,Universal,Action,Based on Fiction Book/Short Story,Science Fiction,215000000,4274,4291,36378,208806270,652270625,1018130012,1670400637
6,5/4/2012,4/25/2012,The Avengers,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,225000000,4349,4349,37645,207438708,623357910,891742301,1515100211
7,12/15/2017,12/13/2017,Star Wars Ep. VIII: The Last Jedi,Walt Disney,Adventure,Original Screenplay,Science Fiction,200000000,4232,4232,28185,220009584,620181382,712358507,1332539889
8,6/15/2018,6/15/2018,Incredibles 2,Walt Disney,Adventure,Original Screenplay,Kids Fiction,200000000,4410,4413,40116,182687905,608581744,634223615,1242805359
2,4/26/2019,4/23/2019,Avengers: Endgame,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,400000000,4662,4662,37780,357115007,858373000,1939427564,2797800564
10,12/16/2016,12/14/2016,Rogue One: A Star Wars Story,Walt Disney,Adventure,Spin-Off,Science Fiction,200000000,4157,4157,29116,155081681,532177324,523879949,1056057273
18,3/8/2019,3/6/2019,Captain Marvel,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,175000000,4310,4310,34019,153433423,426829839,702900000,1129729839
12,3/17/2017,3/16/2017,Beauty and the Beast,Walt Disney,Musical,Remake,Fantasy,160000000,4210,4210,35923,174750616,504014165,753498936,1257513101
13,6/17/2016,6/16/2016,Finding Dory,Walt Disney,Adventure,Original Screenplay,Kids Fiction,200000000,4305,4305,32649,135060273,486295561,539068066,1025363627
14,11/22/2019,11/20/2019,Frozen II,Walt Disney,Adventure,Original Screenplay,Kids Fiction,150000000,4440,4440,38297,130263358,477373578,970176133,1447549711
15,5/1/2015,4/22/2015,Avengers: Age of Ultron,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,365000000,4276,4276,30109,191271109,459005868,937093334,1396099202
16,7/20/2012,7/19/2012,The Dark Knight Rises,Warner Bros.,Action,Based on Comic/Graphic Novel,Super Hero,230000000,4404,4404,32481,160887295,448139099,634089008,1082228107
43,10/4/2019,10/2/2019,Joker,Warner Bros.,Thriller/Suspense,Based on Comic/Graphic Novel,Contemporary Fiction,55000000,4374,4374,32875,96202337,335451311,737271282,1072722593
52,12/13/2019,12/4/2019,Jumanji: The Next Level,Sony Pictures,Adventure,Original Screenplay,Science Fiction,125000000,4227,4227,41449,59251543,316831246,480342830,797174076
